Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,log_app_income,sqr_app_income,log_coapp_income,sqr_coapp_income,log_loan_amt,sqr_loan_amt,Total_Income,Total_Income_log,Total_Income_sqr,Payability,Payability_log,Payability_sqr
LP001003,1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,2,0,8.430109084509125,21003889,7.318539548567902,2274064.0,4.852030263919617,16384.0,6091.0,8.714567550836485,37100281.0,5963.0,8.693328989123106,35557369.0
LP001005,1,1,0,0,1,3000,0.0,66.0,360.0,1.0,0,1,8.006367567650246,9000000,-inf,0.0,4.189654742026425,4356.0,3000.0,8.006367567650246,9000000.0,2934.0,7.984121958702927,8608356.0
LP001006,1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,0,1,7.8567067930958405,6671889,7.765569081097317,5560164.0,4.787491742782046,14400.0,4941.0,8.50532301884575,24413481.0,4821.0,8.480736654405622,23242041.0
LP001008,1,0,0,0,0,6000,0.0,141.0,360.0,1.0,0,1,8.699514748210191,36000000,-inf,0.0,4.948759890378168,19881.0,6000.0,8.699514748210191,36000000.0,5859.0,8.675734219544788,34327881.0
LP001011,1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,0,1,8.597297435657898,29343889,8.341886969516187,17606416.0,5.58724865840025,71289.0,9613.0,9.170871628065816,92409769.0,9346.0,9.142703723260372,87347716.0
LP001013,1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,0,1,7.75491027202143,5442889,7.323830566202317,2298256.0,4.553876891600541,9025.0,3849.0,8.255568653283746,14814801.0,3754.0,8.230577217146454,14092516.0
LP001014,1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,8.01829613851552,9217296,7.825644732219989,6270016.0,5.062595033026967,24964.0,5540.0,8.61974977974133,30691600.0,5382.0,8.590815331286851,28965924.0
LP001018,1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,0,1,8.295548516225763,16048036,7.330405211844402,2328676.0,5.123963979403259,28224.0,5532.0,8.61830469278465,30603024.0,5364.0,8.587465244401569,28772496.0
LP001020,1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,9.460398455831275,164891281,9.30273722124215,120297024.0,5.855071922202427,121801.0,23809.0,10.077818939438902,566868481.0,23460.0,10.063052122207466,550371600.0
LP001024,1,1,2,0,0,3200,700.0,70.0,360.0,1.0,0,1,8.070906088787819,10240000,6.551080335043404,490000.0,4.248495242049359,4900.0,3900.0,8.268731832117737,15210000.0,3830.0,8.250620082174692,14668900.0
LP001028,1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,0,1,8.030409562130485,9443329,9.000359807188254,65707236.0,5.298317366548036,40000.0,11179.0,9.321792297270326,124970041.0,10979.0,9.303739636234733,120538441.0
LP001029,1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,2,0,7.52456122628536,3433609,7.951559331155252,8065600.0,4.736198448394496,12996.0,4693.0,8.453827315794417,22024249.0,4579.0,8.429235912657095,20967241.0
LP001030,1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,0,1,7.1693500166706,1687401,6.990256500493881,1179396.0,2.833213344056216,289.0,2385.0,7.776954403322442,5688225.0,2368.0,7.769800996003896,5607424.0
LP001032,1,0,0,0,0,4950,0.0,125.0,360.0,1.0,0,1,8.507142855562735,24502500,-inf,0.0,4.8283137373023015,15625.0,4950.0,8.507142855562735,24502500.0,4825.0,8.481566013773087,23280625.0
LP001036,0,0,0,0,0,3510,0.0,76.0,360.0,0.0,0,0,8.163371316459912,12320100,-inf,0.0,4.330733340286331,5776.0,3510.0,8.163371316459912,12320100.0,3434.0,8.141481041457421,11792356.0
LP001038,1,1,0,1,0,4887,0.0,133.0,360.0,1.0,2,0,8.494333897270154,23882769,-inf,0.0,4.890349128221754,17689.0,4887.0,8.494333897270154,23882769.0,4754.0,8.46674164792014,22600516.0
LP001043,1,1,0,1,0,7660,0.0,104.0,360.0,0.0,0,0,8.943767262734637,58675600,-inf,0.0,4.6443908991413725,10816.0,7660.0,8.943767262734637,58675600.0,7556.0,8.9300972286214,57093136.0
LP001046,1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,0,1,8.691986481789401,35462025,8.63497622707262,31640625.0,5.752572638825633,99225.0,11580.0,9.357034751126987,134096400.0,11265.0,9.329455852866344,126900225.0
LP001047,1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,7.8632667240095735,6760000,7.555381944240273,3651921.0,4.7535901911063645,13456.0,4511.0,8.414274137408396,20349121.0,4395.0,8.388222810119277,19316025.0
LP001066,1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,9.165343006045447,91393600,-inf,0.0,5.25227342804663,36481.0,9560.0,9.165343006045447,91393600.0,9369.0,9.145161645951188,87778161.0
LP001068,1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,7.937017489515454,7834401,7.720017940432244,5076009.0,4.804021044733257,14884.0,5052.0,8.527539483470381,25522704.0,4930.0,8.503094267036737,24304900.0
LP001073,1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,0,1,8.349011198176003,17859076,6.946975992135418,1081600.0,4.700480365792417,12100.0,5266.0,8.569026340056254,27730756.0,5156.0,8.547916364059079,26584336.0
LP001086,1,0,0,1,0,1442,0.0,35.0,360.0,1.0,0,0,7.273786317844895,2079364,-inf,0.0,3.5553480614894135,1225.0,1442.0,7.273786317844895,2079364.0,1407.0,7.249215057114389,1979649.0
LP001095,1,0,0,0,0,3167,0.0,74.0,360.0,1.0,0,0,8.06054004653864,10029889,-inf,0.0,4.30406509320417,5476.0,3167.0,8.06054004653864,10029889.0,3093.0,8.03689677268507,9566649.0
LP001097,1,0,1,0,1,4692,0.0,106.0,360.0,1.0,2,0,8.453614209773367,22014864,-inf,0.0,4.663439094112067,11236.0,4692.0,8.453614209773367,22014864.0,4586.0,8.43076346341785,21031396.0
LP001098,1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,8.160518247477505,12250000,7.418780882750794,2778889.0,4.736198448394496,12996.0,5167.0,8.550047528287184,26697889.0,5053.0,8.527737405291909,25532809.0
LP001100,1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,2,0,9.433483923290392,156250000,8.006367567650246,9000000.0,5.768320995793772,102400.0,15500.0,9.648595302907339,240250000.0,15180.0,9.627734050949622,230432400.0
LP001112,0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,8.207129168071326,13446889,7.285506548522785,2128681.0,4.969813299576001,20736.0,5126.0,8.542080906924017,26275876.0,4982.0,8.513586695822125,24820324.0
LP001114,1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,0,1,8.334711621820917,17355556,8.883224230278994,51984100.0,5.214935757608986,33856.0,11376.0,9.339261152043022,129413376.0,11192.0,9.322954516345318,125260864.0
LP001116,1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,8.228977643358313,14047504,7.419380582918692,2782224.0,4.700480365792417,12100.0,5416.0,8.59711281459211,29333056.0,5306.0,8.576593534697684,28153636.0
LP001119,1,0,0,0,0,3600,0.0,80.0,360.0,1.0,0,0,8.1886891244442,12960000,-inf,0.0,4.382026634673881,6400.0,3600.0,8.1886891244442,12960000.0,3520.0,8.166216268592143,12390400.0
LP001120,1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,0,1,7.495541943884256,3240000,7.10085190894405,1471369.0,3.8501476017100584,2209.0,3013.0,8.0106915391303,9078169.0,2966.0,7.994969522697877,8797156.0
